country,iso3,year,indicator,value
Chile,CHL,2025,current_account,-1.21688011748722
Chile,CHL,2019,gdp_growth,0.644223402631923
Chile,CHL,2020,gdp_growth,-6.1396969411886
Chile,CHL,2021,gdp_growth,11.3374032409913
Chile,CHL,2022,gdp_growth,2.06391864254198
Chile,CHL,2023,gdp_growth,0.677024831595858
Chile,CHL,2024,gdp_growth,2.80512637106611
Chile,CHL,2025,gdp_growth,2.45925474781374
Chile,CHL,2019,inflation,2.55754475703327
Chile,CHL,2020,inflation,3.04549084804326
Chile,CHL,2021,inflation,4.52456838259144
Chile,CHL,2022,inflation,11.643866711056
Chile,CHL,2023,inflation,7.58168251407962
Chile,CHL,2024,inflation,4.29763891572524
Chile,CHL,2025,inflation,4.21293601694293
Chile,CHL,2019,reserves_months,4.69728067944713
Chile,CHL,2020,reserves_months,5.28711808990111
Chile,CHL,2021,reserves_months,4.69423974456816
Chile,CHL,2022,reserves_months,3.18145571608366
Chile,CHL,2023,reserves_months,4.39461209765128
Chile,CHL,2024,reserves_months,4.18812833070743
Chile,CHL,2025,reserves_months,4.21740649827425
Colombia,COL,2019,current_account,-4.5842751726606
Colombia,COL,2020,current_account,-3.42772945914236
Colombia,COL,2021,current_account,-5.6351694946032
Colombia,COL,2022,current_account,-6.04054199360168
Colombia,COL,2023,current_account,-2.26762349420469
Colombia,COL,2024,current_account,-1.66760721722233
Colombia,COL,2025,current_account,-2.37924247045499
Colombia,COL,2019,external_debt_gni,44.0144816213322
Colombia,COL,2020,external_debt_gni,58.195276425352
Colombia,COL,2021,external_debt_gni,54.5702530730857
Colombia,COL,2022,external_debt_gni,55.2901604295775
Colombia,COL,2023,external_debt_gni,54.9698144239845
Colombia,COL,2024,external_debt_gni,49.2038699846531
Colombia,COL,2019,gdp_growth,3.18685539245533
Colombia,COL,2020,gdp_growth,-7.18591413760859
Colombia,COL,2021,gdp_growth,10.8011981904878
Colombia,COL,2022,gdp_growth,7.32827729427979
Colombia,COL,2023,gdp_growth,0.841819555752039
Colombia,COL,2024,gdp_growth,1.49330728771066
Colombia,COL,2025,gdp_growth,2.64201548985928
Colombia,COL,2019,inflation,3.52301932741447
Colombia,COL,2020,inflation,2.52663500084706
Colombia,COL,2021,inflation,3.49505757399448
Colombia,COL,2022,inflation,10.1772313546166
Colombia,COL,2023,inflation,11.7359044948689
Colombia,COL,2024,inflation,6.60908593728228
Colombia,COL,2025,inflation,5.14222911946201
Colombia,COL,2019,reserves_months,7.68978168444085
Colombia,COL,2020,reserves_months,11.5419853283327
Colombia,COL,2021,reserves_months,8.13634445223537
Colombia,COL,2022,reserves_months,5.98792041600812
Colombia,COL,2023,reserves_months,7.1661637402161
Colombia,COL,2024,reserves_months,7.34464091398545
Colombia,COL,2025,reserves_months,7.2960917611185
Czechia,CZE,2019,current_account,0.356195094422181
Czechia,CZE,2020,current_account,1.78520080795831
Czechia,CZE,2021,current_account,-2.04624111898244
Czechia,CZE,2022,current_account,-4.52048439437013
Czechia,CZE,2023,current_account,-0.125406557037842
Czechia,CZE,2024,current_account,1.69610102238123
Czechia,CZE,2025,current_account,0.624791974567142
Czechia,CZE,2019,gdp_growth,3.56577658128261
